id,status,sort,name,test_id,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
514,1,0,Blue God,243,NULL,NULL,NULL,Hybrid,"66, 139",Jordan of the Islands,"Relaxed, Sleepy, Euphoric, Hungry, Happy, Dry Mouth, Paranoid","Pain, Insomnia, Stress, Depression, Lack of Appetite","Berry, Blueberry, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,1,0,Space Queen,244,NULL,NULL,NULL,Hybrid,0,TGA Seeds,NULL,NULL,NULL,"Lake Forest, CA",NULL,1200,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2001,2,0,Night Train,274,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,"Relaxed, Sleepy, Tingly, Euphoric, Uplifted","Insomnia, Pain, Stress, Lack of Appetite",Pepper,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,Blackberry Kush,276,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Nausea","Berry, Sweet, Earthy",", CA",NULL,1300,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,1,0,Big Bud,285,NULL,NULL,NULL,Hybrid,267,Seed Bank,"Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Muscle Spasms",Earthy,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,1,0,Blue Cheese,286,NULL,NULL,NULL,Hybrid,"40, 66",Big Buddha Seeds,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression",Blueberry,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4595,2,0,Cripit,290,NULL,NULL,NULL,Hybrid,NULL,Stoney Girl Gardens,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1,0,OG Kush,294,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,"Los Angeles, CA",NULL,1700,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4594,2,0,Purpit,295,NULL,NULL,NULL,Hybrid,NULL,Stoney Girl Gardens,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,2,0,Shining Silver Haze,296,NULL,NULL,NULL,Hybrid,NULL,Royal Queen,"Talkative, Happy, Focused, Uplifted, Energetic",Stress,,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5770,2,0,Sour Blueberry,298,NULL,NULL,NULL,Hybrid,NULL,Humboldt Seed Organisation,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5530,2,0,Venom,302,NULL,NULL,NULL,Hybrid,NULL,Leprechaun Seed Co.,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,1,0,Sage,308,NULL,NULL,NULL,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2054,2,0,Purple Jolly Rancher,317,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,"Relaxed, Euphoric, Sleepy, Happy, Uplifted, Dry Mouth, Anxious","Insomnia, Pain, Nausea, Depression",Citrus,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,2,0,Tahoe OG Kush,344,NULL,NULL,NULL,Hybrid,NULL,The Cali Connection,NULL,NULL,NULL,"Richmond, CA",NULL,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,2,0,Head Band,345,NULL,NULL,NULL,Hybrid,NULL,Litt,NULL,NULL,NULL,"North Hollywood, CA",NULL,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,2,0,Chocolate Thai,347,NULL,NULL,NULL,Hybrid,NULL,DJ Short,"Relaxed, Uplifted, Happy, Focused, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Insomnia, Nausea","Earthy, Coffee",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
